2023-01-01 16:57:49,638 [INFO ]  loading data data/pc9.db
2023-01-02 05:22:33,411 [INFO ]  step=2865000, energy_mae=0.017251, energy_rmse=0.0585067, total_loss=0.00342303, train_loss=5.77377e+11
2023-01-02 05:27:25,191 [INFO ]  step=2870000, energy_mae=0.0173598, energy_rmse=0.0585658, total_loss=0.00342995, train_loss=5.76829e+11
2023-01-02 05:32:16,824 [INFO ]  step=2875000, energy_mae=0.0198786, energy_rmse=0.0604043, total_loss=0.00364868, train_loss=5.92782e+11
2023-01-02 05:37:07,881 [INFO ]  step=2880000, energy_mae=0.0173662, energy_rmse=0.0589598, total_loss=0.00347626, train_loss=5.89578e+11
2023-01-02 05:41:59,290 [INFO ]  step=2885000, energy_mae=0.018026, energy_rmse=0.0584582, total_loss=0.00341736, train_loss=5.70065e+11
2023-01-02 05:46:50,574 [INFO ]  step=2890000, energy_mae=0.0175457, energy_rmse=0.0582605, total_loss=0.00339429, train_loss=5.85379e+11
2023-01-02 05:51:41,891 [INFO ]  step=2895000, energy_mae=0.0192188, energy_rmse=0.0584458, total_loss=0.00341592, train_loss=5.69601e+11
2023-01-02 05:56:33,375 [INFO ]  step=2900000, energy_mae=0.0177398, energy_rmse=0.0584936, total_loss=0.0034215, train_loss=5.71032e+11
2023-01-02 06:01:24,820 [INFO ]  step=2905000, energy_mae=0.0173789, energy_rmse=0.0583778, total_loss=0.00340797, train_loss=5.65509e+11
2023-01-02 06:06:16,245 [INFO ]  step=2910000, energy_mae=0.0175158, energy_rmse=0.0582697, total_loss=0.00339536, train_loss=5.78958e+11
2023-01-02 06:11:06,327 [INFO ]  step=2915000, energy_mae=0.0170001, energy_rmse=0.05771, total_loss=0.00333044, train_loss=5.79171e+11
2023-01-02 06:15:56,999 [INFO ]  step=2920000, energy_mae=0.0172697, energy_rmse=0.0581097, total_loss=0.00337674, train_loss=5.66064e+11
2023-01-02 06:20:47,679 [INFO ]  step=2925000, energy_mae=0.0174795, energy_rmse=0.058451, total_loss=0.00341652, train_loss=5.71678e+11
2023-01-02 06:25:38,215 [INFO ]  step=2930000, energy_mae=0.0174939, energy_rmse=0.0582968, total_loss=0.00339851, train_loss=5.62596e+11
2023-01-02 06:30:28,766 [INFO ]  step=2935000, energy_mae=0.017428, energy_rmse=0.0588335, total_loss=0.00346139, train_loss=5.58886e+11
2023-01-02 06:35:19,867 [INFO ]  step=2940000, energy_mae=0.0173209, energy_rmse=0.058876, total_loss=0.00346638, train_loss=5.70678e+11
2023-01-02 06:40:10,755 [INFO ]  step=2945000, energy_mae=0.0188384, energy_rmse=0.0596019, total_loss=0.00355238, train_loss=5.54065e+11
2023-01-02 06:45:00,986 [INFO ]  step=2950000, energy_mae=0.0174419, energy_rmse=0.0587472, total_loss=0.00345124, train_loss=5.49945e+11
2023-01-02 06:49:51,124 [INFO ]  step=2955000, energy_mae=0.0175286, energy_rmse=0.058827, total_loss=0.00346062, train_loss=5.66119e+11
2023-01-02 06:54:41,253 [INFO ]  step=2960000, energy_mae=0.0174162, energy_rmse=0.0584178, total_loss=0.00341264, train_loss=5.45047e+11
2023-01-02 06:59:31,824 [INFO ]  step=2965000, energy_mae=0.0176698, energy_rmse=0.0586319, total_loss=0.0034377, train_loss=5.58858e+11
2023-01-02 07:04:22,220 [INFO ]  step=2970000, energy_mae=0.0173633, energy_rmse=0.0584438, total_loss=0.00341567, train_loss=5.54034e+11
2023-01-02 07:09:12,686 [INFO ]  step=2975000, energy_mae=0.0172027, energy_rmse=0.0586065, total_loss=0.00343472, train_loss=5.53982e+11
2023-01-02 07:14:03,338 [INFO ]  step=2980000, energy_mae=0.0177058, energy_rmse=0.0585552, total_loss=0.00342871, train_loss=5.53705e+11
2023-01-02 07:18:53,824 [INFO ]  step=2985000, energy_mae=0.0189004, energy_rmse=0.0588348, total_loss=0.00346153, train_loss=5.45887e+11
2023-01-02 07:23:45,160 [INFO ]  step=2990000, energy_mae=0.0174593, energy_rmse=0.0581416, total_loss=0.00338045, train_loss=5.44612e+11
2023-01-02 07:28:35,498 [INFO ]  step=2995000, energy_mae=0.0176152, energy_rmse=0.0589127, total_loss=0.00347071, train_loss=5.43263e+11
2023-01-02 07:33:26,347 [INFO ]  step=2999999, energy_mae=0.0182152, energy_rmse=0.0591171, total_loss=0.00349483, train_loss=5.3617e+11
2023-01-02 07:33:26,348 [INFO ]  Max steps reached, exiting
